"","team.nm","tm.pit.h","opp.pit.h","home.wins","away.wins","home.loss","away.loss","hwp","awp"
"98","SFG","L","R",9,5,14,15,0.391304347826087,0.25
"99","SFG","R","L",9,8,7,11,0.5625,0.421052631578947
"100","SFG","R","R",15,9,13,18,0.535714285714286,0.333333333333333
"101","STL","L","L",4,5,6,8,0.4,0.384615384615385
"102","STL","L","R",14,10,12,11,0.538461538461538,0.476190476190476
"103","STL","R","L",10,6,3,5,0.769230769230769,0.545454545454545
"104","STL","R","R",15,18,16,18,0.483870967741935,0.5
"105","TBR","L","L",1,1,1,6,0.5,0.142857142857143
"106","TBR","L","R",5,4,4,2,0.555555555555556,0.666666666666667
"107","TBR","R","L",10,10,13,14,0.434782608695652,0.416666666666667
"108","TBR","R","R",26,22,21,21,0.553191489361702,0.511627906976744
"109","TEX","L","L",7,6,4,4,0.636363636363636,0.6
"110","TEX","L","R",11,5,9,11,0.55,0.3125
"111","TEX","R","L",6,7,8,5,0.428571428571429,0.583333333333333
"112","TEX","R","R",17,19,18,24,0.485714285714286,0.441860465116279
"113","TOR","L","L",3,6,3,3,0.5,0.666666666666667
"114","TOR","L","R",10,7,10,13,0.5,0.35
"115","TOR","R","L",6,7,11,7,0.352941176470588,0.5
"116","TOR","R","R",23,14,15,24,0.605263157894737,0.368421052631579
"117","WSN","L","L",4,5,3,NA,0.571428571428571,NA
"118","WSN","L","R",3,7,5,6,0.375,0.538461538461538
"119","WSN","R","L",14,11,8,9,0.636363636363636,0.55
"120","WSN","R","R",26,27,18,16,0.590909090909091,0.627906976744186
