"","team.nm","result","team.pitcher.hand","opp.pitcher.hand","home.count","away.count"
"187","SFG","L","L","L",2,4
"188","SFG","L","L","R",6,8
"189","SFG","L","R","L",8,13
"190","SFG","L","R","R",20,14
"191","SFG","W","L","L",5,2
"192","SFG","W","L","R",11,10
"193","SFG","W","R","L",15,14
"194","SFG","W","R","R",14,16
"195","STL","L","L","L",7,3
"196","STL","L","L","R",15,13
"197","STL","L","R","L",9,7
"198","STL","L","R","R",12,9
"199","STL","W","L","L",5,7
"200","STL","W","L","R",6,12
"201","STL","W","R","L",4,9
"202","STL","W","R","R",23,20
"203","TBR","L","L","L",4,6
"204","TBR","L","L","R",13,18
"205","TBR","L","R","L",9,8
"206","TBR","L","R","R",18,17
"207","TBR","W","L","L",9,1
"208","TBR","W","L","R",10,9
"209","TBR","W","R","L",5,9
"210","TBR","W","R","R",12,13
"211","TEX","L","L","L",4,12
"212","TEX","L","L","R",15,16
"213","TEX","L","R","L",3,2
"214","TEX","L","R","R",6,9
"215","TEX","W","L","L",10,11
"216","TEX","W","L","R",29,17
"217","TEX","W","R","L",3,3
"218","TEX","W","R","R",11,11
"219","TOR","L","L","L",2,2
"220","TOR","L","L","R",3,5
"221","TOR","L","R","L",10,10
"222","TOR","L","R","R",20,21
"223","TOR","W","L","L",7,4
"224","TOR","W","L","R",8,9
"225","TOR","W","R","L",5,10
"226","TOR","W","R","R",26,19
"227","WSN","L","L","L",3,4
"228","WSN","L","L","R",6,12
"229","WSN","L","R","L",7,5
"230","WSN","L","R","R",15,15
"231","WSN","W","L","L",2,2
"232","WSN","W","L","R",11,3
"233","WSN","W","R","L",9,12
"234","WSN","W","R","R",28,28
